Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,GRAY SNAPPER,316358,53.4,0
FINAL,1990,MARCH/APRIL,FLORIDA,GRAY SNAPPER,214692,53.4,0
FINAL,1990,MARCH/APRIL,MISSISSIPPI,GRAY SNAPPER,0,.,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,GRAY SNAPPER,151,98.2,0
FINAL,1990,MAY/JUNE,ALABAMA,GRAY SNAPPER,250,94.4,0
FINAL,1990,MAY/JUNE,FLORIDA,GRAY SNAPPER,57797,35.3,0
FINAL,1990,MAY/JUNE,MISSISSIPPI,GRAY SNAPPER,5527,11,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,GRAY SNAPPER,93,78.9,0
FINAL,1990,JULY/AUGUST,ALABAMA,GRAY SNAPPER,1497,58.6,0
FINAL,1990,JULY/AUGUST,FLORIDA,GRAY SNAPPER,353193,30.9,0
FINAL,1990,JULY/AUGUST,LOUISIANA,GRAY SNAPPER,280,112.3,0
FINAL,1990,JULY/AUGUST,MISSISSIPPI,GRAY SNAPPER,0,.,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,GRAY SNAPPER,751,73.7,0
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,GRAY SNAPPER,1555,54.3,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,GRAY SNAPPER,411141,44.6,0
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,GRAY SNAPPER,3951,56.9,0
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,GRAY SNAPPER,0,.,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,GRAY SNAPPER,58,101.5,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,GRAY SNAPPER,726166,57.3,0
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,GRAY SNAPPER,8037,78.4,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,GRAY SNAPPER,656874,35.6,0
FINAL,1991,MARCH/APRIL,FLORIDA,GRAY SNAPPER,552142,47.8,0
FINAL,1991,MAY/JUNE,ALABAMA,GRAY SNAPPER,746,97.2,0
FINAL,1991,MAY/JUNE,FLORIDA,GRAY SNAPPER,130596,27.3,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,GRAY SNAPPER,1022,68.8,0
FINAL,1991,JULY/AUGUST,ALABAMA,GRAY SNAPPER,526,83.7,0
FINAL,1991,JULY/AUGUST,FLORIDA,GRAY SNAPPER,508002,37.9,0
FINAL,1991,JULY/AUGUST,LOUISIANA,GRAY SNAPPER,4856,90.6,0
FINAL,1991,JULY/AUGUST,MISSISSIPPI,GRAY SNAPPER,4985,79.3,0
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,GRAY SNAPPER,1046,67.4,0
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,GRAY SNAPPER,3522,80.3,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,GRAY SNAPPER,585046,34.1,0
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,GRAY SNAPPER,8612,58.2,0
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,GRAY SNAPPER,8,105.1,0
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,GRAY SNAPPER,1945,66.7,0
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,GRAY SNAPPER,0,.,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,GRAY SNAPPER,359029,32,0
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,GRAY SNAPPER,300,113.4,0
FINAL,1991,NOVEMBER/DECEMBER,MISSISSIPPI,GRAY SNAPPER,0,.,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,GRAY SNAPPER,0,.,248395
FINAL,1992,MARCH/APRIL,ALABAMA,GRAY SNAPPER,957,98.7,0
FINAL,1992,MARCH/APRIL,FLORIDA,GRAY SNAPPER,273315,20,0
FINAL,1992,MARCH/APRIL,MISSISSIPPI,GRAY SNAPPER,316,94.5,0
FINAL,1992,MAY/JUNE,ALABAMA,GRAY SNAPPER,5899,58.2,0
FINAL,1992,MAY/JUNE,FLORIDA,GRAY SNAPPER,292911,20.3,0
FINAL,1992,MAY/JUNE,GEORGIA,GRAY SNAPPER,0,.,0
FINAL,1992,MAY/JUNE,LOUISIANA,GRAY SNAPPER,879,97.4,0
FINAL,1992,MAY/JUNE,MISSISSIPPI,GRAY SNAPPER,287,98,0
FINAL,1992,MAY/JUNE,NORTH CAROLINA,GRAY SNAPPER,53,101.7,0
FINAL,1992,JULY/AUGUST,ALABAMA,GRAY SNAPPER,3841,87.5,0
FINAL,1992,JULY/AUGUST,FLORIDA,GRAY SNAPPER,304425,25.2,0
FINAL,1992,JULY/AUGUST,LOUISIANA,GRAY SNAPPER,7653,55.8,0
FINAL,1992,JULY/AUGUST,MISSISSIPPI,GRAY SNAPPER,823,54.5,0
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,GRAY SNAPPER,6910,84.2,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,GRAY SNAPPER,399688,17.5,0
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,GRAY SNAPPER,984,81.9,0
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,GRAY SNAPPER,2439,62.9,0
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,GRAY SNAPPER,3257,86.6,0
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,GRAY SNAPPER,7409,70.5,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,GRAY SNAPPER,272636,25.4,0
FINAL,1992,NOVEMBER/DECEMBER,LOUISIANA,GRAY SNAPPER,37,98.8,0
FINAL,1992,NOVEMBER/DECEMBER,MISSISSIPPI,GRAY SNAPPER,141,81.6,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,GRAY SNAPPER,206261,35.5,0
FINAL,1993,JANUARY/FEBRUARY,LOUISIANA,GRAY SNAPPER,244,99.8,0
FINAL,1993,JANUARY/FEBRUARY,MISSISSIPPI,GRAY SNAPPER,20,84.5,0
FINAL,1993,MARCH/APRIL,FLORIDA,GRAY SNAPPER,214256,33.2,0
FINAL,1993,MARCH/APRIL,LOUISIANA,GRAY SNAPPER,2582,83.7,0
FINAL,1993,MARCH/APRIL,MISSISSIPPI,GRAY SNAPPER,0,.,0
FINAL,1993,MAY/JUNE,ALABAMA,GRAY SNAPPER,2264,61.4,0
FINAL,1993,MAY/JUNE,FLORIDA,GRAY SNAPPER,252638,22.9,0
FINAL,1993,MAY/JUNE,LOUISIANA,GRAY SNAPPER,10701,51.8,0
FINAL,1993,MAY/JUNE,MISSISSIPPI,GRAY SNAPPER,3281,77,0
FINAL,1993,JULY/AUGUST,ALABAMA,GRAY SNAPPER,3353,63,0
FINAL,1993,JULY/AUGUST,FLORIDA,GRAY SNAPPER,484765,21.8,0
FINAL,1993,JULY/AUGUST,GEORGIA,GRAY SNAPPER,23,86.9,0
FINAL,1993,JULY/AUGUST,LOUISIANA,GRAY SNAPPER,3252,95.9,0
FINAL,1993,JULY/AUGUST,MISSISSIPPI,GRAY SNAPPER,3991,90.3,0
FINAL,1993,SEPTEMBER/OCTOBER,ALABAMA,GRAY SNAPPER,5503,68.7,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,GRAY SNAPPER,256916,17.4,0
